#displaying cycles per input bytes for memcpy and decoders: chromium, AVX2, AVX512VBMI, AVX512VBMI-unrolled, AVX512VBMI-despacing; first column is number of bytes
#Following the cycles per inpt bytes, we provide the GB/s (speeds) 
#Each measure is given as a triple (mean, min, max)
256  0.116 0.052 5.500     0.847 0.826 1.221     0.342 0.233 3.262     0.192 0.128 1.930     0.191 0.163 1.337     0.265 0.244 1.506     0.089 0.070 0.953    			 48.542 45.768 53.396      2.312 1.863 2.464      9.797 7.281 10.335      19.776 11.442 22.884      16.099 16.019 16.862      9.259 9.154 9.423     
320  0.057 0.047 0.266     0.829 0.818 0.925     0.323 0.243 1.154     0.158 0.112 0.472     0.188 0.178 0.276     0.327 0.308 0.682     0.068 0.061 0.107    			 49.826 49.826 49.826      2.420 2.132 2.491      9.018 7.118 9.491      22.908 13.745 24.913      13.558 13.287 13.745      6.621 6.429 6.643     
384  0.046 0.039 0.125     0.824 0.812 0.953     0.295 0.211 0.961     0.126 0.090 0.301     0.102 0.094 0.164     0.104 0.098 0.191     0.024 0.020 0.121    			 64.437 59.605 68.120      2.466 2.177 2.510      10.549 8.830 10.837      30.764 29.802 31.789      29.990 28.049 31.789      25.229 25.097 26.491     
448  0.044 0.037 0.153     0.821 0.807 6.710     0.273 0.197 0.903     0.138 0.100 0.397     0.128 0.117 0.263     0.180 0.170 0.413     0.049 0.043 0.143    			 61.406 55.879 62.088      2.518 2.473 2.528      11.522 9.634 11.889      26.609 26.609 26.609      22.352 22.352 22.352      13.273 12.995 13.305     
512  0.042 0.035 0.099     0.817 0.801 5.716     0.298 0.211 0.909     0.143 0.091 0.330     0.138 0.132 0.196     0.232 0.222 0.406     0.046 0.041 0.091    			 60.669 53.085 63.702      2.537 2.528 2.548      9.770 8.382 10.112      26.879 18.201 28.956      18.201 18.201 18.201      8.799 7.322 9.368     
576  0.038 0.034 0.094     0.811 0.799 0.898     0.268 0.193 0.839     0.110 0.078 0.294     0.079 0.076 0.122     0.094 0.089 0.143     0.019 0.013 0.078    			 72.985 71.526 79.473      2.543 2.527 2.554      10.247 7.012 11.921      31.648 21.037 34.060      31.234 31.098 32.512      26.200 25.545 26.491     
640  0.037 0.033 0.068     0.805 0.797 0.855     0.245 0.178 0.794     0.122 0.084 0.348     0.107 0.098 0.189     0.148 0.140 0.301     0.038 0.033 0.105    			 68.725 66.434 72.474      2.520 2.252 2.563      11.340 9.491 11.724      27.777 19.444 29.526      25.389 24.913 25.717      15.786 15.331 15.944     
704  0.039 0.034 0.219     0.804 0.796 0.857     0.269 0.189 0.796     0.117 0.081 0.315     0.118 0.106 0.298     0.184 0.172 0.396     0.035 0.030 0.066    			 68.394 67.342 72.954      2.555 2.545 2.560      10.821 9.620 11.082      28.331 19.031 30.188      20.359 19.896 20.844      12.453 12.159 12.506     
768  0.035 0.031 0.160     0.806 0.799 0.885     0.242 0.178 0.762     0.110 0.070 0.279     0.103 0.068 3.035     0.088 0.084 0.133     0.016 0.012 0.066    			 77.534 73.360 79.473      2.553 2.477 2.571      11.546 10.145 11.774      32.549 21.193 35.321      31.789 31.789 31.789      22.387 22.178 22.707     
832  0.035 0.031 0.162     0.802 0.793 0.874     0.234 0.169 0.743     0.117 0.083 0.313     0.093 0.088 0.174     0.134 0.128 0.254     0.031 0.027 0.092    			 73.974 73.974 73.974      2.565 2.557 2.570      12.113 10.677 12.329      29.173 22.035 30.460      27.182 26.555 27.253      17.583 17.261 17.856     
896  0.042 0.037 0.152     0.836 0.794 30.953     0.241 0.182 0.751     0.115 0.082 0.304     0.105 0.099 0.156     0.161 0.152 0.254     0.029 0.025 0.064    			 71.401 69.616 74.257      2.544 2.453 2.567      11.579 10.508 11.850      26.147 20.627 27.167      22.502 21.840 22.732      12.042 11.850 12.107     
960  0.031 0.027 0.173     0.801 0.794 0.850     0.240 0.169 0.714     0.101 0.067 0.264     0.071 0.067 0.108     0.084 0.080 0.113     0.019 0.016 0.059    			 80.547 79.473 85.149      2.551 2.379 2.580      12.152 10.937 12.418      28.934 22.492 30.566      33.022 32.219 33.114      23.103 22.492 23.374     
1024  0.031 0.028 0.069     0.798 0.789 0.829     0.221 0.162 0.715     0.112 0.080 0.292     0.087 0.082 0.164     0.123 0.117 0.208     0.035 0.032 0.067    			 75.836 74.944 79.628      2.572 2.563 2.579      12.614 11.275 12.869      26.936 21.966 27.697      28.439 28.312 28.956      18.987 18.736 19.016     
1088  0.032 0.029 0.123     0.800 0.791 3.070     0.233 0.169 0.711     0.108 0.077 0.293     0.101 0.094 0.128     0.155 0.150 0.226     0.032 0.030 0.051    			 75.127 75.127 75.127      2.554 2.389 2.581      12.052 10.994 12.293      27.430 21.465 28.772      24.062 23.315 24.587      13.362 13.129 13.523     
1152  0.030 0.027 0.137     0.804 0.798 0.855     0.239 0.164 0.706     0.102 0.069 0.259     0.071 0.066 0.095     0.084 0.081 0.107     0.015 0.013 0.053    			 82.689 79.473 84.148      2.574 2.568 2.577      12.494 11.264 12.659      28.958 23.842 29.802      33.037 32.512 33.268      23.723 23.073 23.842     
1216  0.030 0.027 0.110     0.798 0.788 2.635     0.214 0.158 0.697     0.105 0.075 0.280     0.082 0.078 0.126     0.113 0.110 0.187     0.029 0.026 0.053    			 78.774 75.623 79.604      2.579 2.572 2.585      12.894 11.725 13.152      27.957 24.007 28.537      28.270 28.009 28.537      19.267 18.906 19.391     
