#displaying cycles per input bytes for memcpy and encoders: chromium, AVX2, AVX512VBMI, AVX512VL, AVX512-memcpy first column is number of bytes
#Following the cycles per inpt bytes, we provide the GB/s (speeds) 
#Each measure is given as a triple (mean, min, max)
1472  0.032 0.030 0.120     1.854 1.848 1.872     0.177 0.173 0.279     0.102 0.101 0.143     0.092 0.086 0.221     0.260 0.014 24.374    			 68.545 68.545 68.545      1.104 1.088 1.106      10.386 5.712 11.424      16.925 7.616 19.584      23.236 22.848 27.418     
1536  0.031 0.027 0.111     1.870 1.845 3.839     0.196 0.191 0.306     0.125 0.120 0.164     0.103 0.100 0.147     0.017 0.014 0.042    			 71.526 71.526 71.526      1.107 1.100 1.109      9.350 5.298 11.004      14.025 7.529 15.895      19.868 17.881 20.436     
1600  0.031 0.026 0.111     1.852 1.845 1.876     0.184 0.179 0.286     0.082 0.080 0.116     0.069 0.066 0.089     0.017 0.014 0.119    			 38.208 7.843 74.506      1.103 1.096 1.104      10.277 5.519 11.462      19.868 7.843 24.835      30.411 29.802 37.253     
1664  0.030 0.028 0.105     1.870 1.846 3.642     0.175 0.172 0.272     0.097 0.094 0.138     0.083 0.081 0.111     0.016 0.014 0.024    			 67.379 51.657 77.486      1.105 1.099 1.107      10.688 6.199 11.921      17.813 7.749 22.139      24.995 22.139 25.829     
1728  0.031 0.028 0.104     1.850 1.845 1.870     0.188 0.185 0.263     0.115 0.113 0.140     0.114 0.093 1.878     0.016 0.014 0.023    			 67.055 53.644 80.466      1.101 1.052 1.110      10.058 6.437 10.729      14.764 6.997 17.881      20.371 16.093 22.990     
1792  0.032 0.028 0.146     1.851 1.846 1.874     0.180 0.175 0.263     0.079 0.076 0.110     0.065 0.064 0.085     0.016 0.013 0.033    			 69.539 55.631 83.447      1.108 1.098 1.113      10.239 5.755 11.921      20.353 7.947 27.816      31.489 27.816 33.379     
1856  0.030 0.027 0.098     1.852 1.846 1.875     0.173 0.170 0.264     0.093 0.089 0.129     0.079 0.078 0.105     0.015 0.013 0.028    			 72.022 57.618 86.427      1.082 0.905 1.108      11.298 6.648 12.347      19.206 9.098 24.693      25.420 24.693 28.809     
1920  0.029 0.026 0.114     1.849 1.844 1.864     0.185 0.180 0.254     0.109 0.107 0.142     0.091 0.089 0.107     0.016 0.014 0.028    			 71.526 59.605 89.407      1.092 0.967 1.111      9.265 3.805 11.176      16.405 9.411 17.881      22.635 22.352 25.545     
1984  0.030 0.027 0.108     1.851 1.846 1.870     0.177 0.172 0.251     0.076 0.074 0.104     0.063 0.061 0.085     0.016 0.013 0.033    			 71.067 61.591 92.387      1.108 1.100 1.113      10.681 6.599 11.548      22.533 9.725 26.396      31.318 30.796 36.955     
2048  0.028 0.025 0.094     1.851 1.846 1.871     0.171 0.168 0.242     0.088 0.086 0.116     0.091 0.073 1.568     0.016 0.013 0.026    			 65.771 63.578 95.367      1.077 0.867 1.109      11.154 6.577 12.716      20.291 9.537 23.842      27.248 27.248 27.248     
2112  0.027 0.026 0.074     1.849 1.844 1.861     0.182 0.178 0.242     0.104 0.101 0.129     0.086 0.084 0.104     0.015 0.013 0.027    			 67.826 65.565 98.348      1.107 1.099 1.111      10.463 6.147 11.570      16.956 8.941 19.670      23.698 21.855 24.587     
2176  0.026 0.025 0.057     1.850 1.845 1.873     0.176 0.174 0.242     0.074 0.071 0.098     0.062 0.060 0.081     0.015 0.014 0.026    			 67.552 67.552 67.552      1.107 1.101 1.113      10.837 6.537 11.921      23.565 10.133 28.951      33.776 33.776 33.776     
2240  0.026 0.024 0.057     1.851 1.846 1.864     0.169 0.166 0.236     0.085 0.083 0.128     0.073 0.071 0.090     0.015 0.013 0.030    			 69.539 69.539 69.539      1.084 0.903 1.110      11.277 7.194 12.272      20.862 9.934 26.077      28.974 26.077 29.802     
2304  0.026 0.024 0.073     1.848 1.843 1.859     0.181 0.177 0.253     0.100 0.098 0.124     0.082 0.081 0.095     0.015 0.013 0.035    			 71.526 71.526 71.526      1.086 0.980 1.112      10.783 7.153 11.921      17.445 8.941 21.458      26.168 23.842 26.822     
2368  0.026 0.024 0.072     1.849 1.845 1.860     0.173 0.169 0.242     0.072 0.069 0.095     0.060 0.059 0.075     0.015 0.014 0.026    			 66.829 44.107 73.512      1.109 1.103 1.114      11.082 7.114 12.252      23.971 10.024 31.505      34.459 31.505 36.756     
2432  0.025 0.023 0.057     1.850 1.845 1.866     0.166 0.164 0.225     0.082 0.081 0.112     0.071 0.069 0.092     0.014 0.013 0.027    			 70.781 56.624 75.499      1.109 1.100 1.110      11.439 6.662 12.583      21.779 10.295 25.166      29.802 28.312 32.357     
2496  0.025 0.024 0.057     1.861 1.843 3.085     0.179 0.175 0.244     0.096 0.094 0.118     0.080 0.079 0.092     0.015 0.013 0.026    			 74.986 58.115 77.486      1.109 1.102 1.112      10.863 7.264 11.623      18.449 10.107 21.133      25.829 25.829 25.829     
2560  0.025 0.023 0.055     1.849 1.844 1.854     0.177 0.174 0.238     0.070 0.069 0.094     0.059 0.058 0.071     0.015 0.013 0.029    			 79.473 79.473 79.473      1.109 1.104 1.114      10.987 7.225 11.921      24.579 10.837 29.802      35.062 34.060 39.736     
